SERIAL_NO;2003749970
ID_DIO2000;16628
DATACODE;20250318084242
OPERATOR;Balada Mirek
SHOP_ORDER_NO;41.5009/53
CUST_ORDER_NO;104919
PART_NO;MZH212.05.31ER7
QUALITY;ER7T
DIAMETER;957
LOT_BATCH_NO;421978_14_U
NUMBER;89
VADY;0
TP;BN 918 277, SOP 60-955
POZN;
FBH1;2
FBH2;2
FBH3;2,9
FBH4;3
FBH5;3
FBH6;3
LINEID;DL1UZ
SETUPNAME;Калибровка 03.02.25 на два СОПа 2
V1;0
V2;0
V3;0
V4;0
V5;0
V6;0
CH1;1
CH2;1
CH3;1
CH4;0
CH5;0
CH6;0
REVS1;18
REVS2;18
REVS3;18
REVS4;28
REVS5;25
REVS6;162
E1;-0,8
E2;-8,4
E3;-9,5
E4;6,8
E5;
E6;-4,9
RPRUM;1013
